City ->;Malmö;;;Östersund;;;Kiruna;;
Date;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather

2013/01/01;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/02;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/03;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/04;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/05;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/06;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/07;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/08;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/09;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/10;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/11;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/12;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/13;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/14;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/15;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/16;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/17;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/18;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/19;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/20;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/21;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/22;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/23;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/24;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/25;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/26;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/27;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/28;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/29;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/01/31;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/01;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/02;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/03;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
2013/02/04;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
